[Epoch 343] lr=4.36e-08  val_recon=0.030632  val_cls=4.761284
[Epoch 344] lr=4.36e-08  val_recon=0.031119  val_cls=4.764788
[Epoch 345] lr=4.36e-08  val_recon=0.030804  val_cls=4.762049
[Epoch 346] lr=4.36e-08  val_recon=0.030637  val_cls=4.759467
[Epoch 347] lr=4.36e-08  val_recon=0.030404  val_cls=4.756601
[Epoch 348] lr=4.36e-08  val_recon=0.030111  val_cls=4.759893
[Epoch 349] lr=4.36e-08  val_recon=0.030645  val_cls=4.760649
[Epoch 350] lr=4.36e-08  val_recon=0.030727  val_cls=4.758910
[Epoch 351] lr=4.36e-08  val_recon=0.030604  val_cls=4.760638
[Epoch 352] lr=4.36e-08  val_recon=0.031074  val_cls=4.760938
[Epoch 353] lr=4.36e-08  val_recon=0.030519  val_cls=4.762051
[Epoch 354] lr=4.36e-08  val_recon=0.030896  val_cls=4.762798
[Epoch 355] lr=4.36e-08  val_recon=0.030290  val_cls=4.760649
[Epoch 356] lr=4.36e-08  val_recon=0.030676  val_cls=4.761437
[Epoch 357] lr=4.36e-08  val_recon=0.030724  val_cls=4.759838
[Epoch 358] lr=4.36e-08  val_recon=0.031479  val_cls=4.761648
[Epoch 359] lr=4.36e-08  val_recon=0.030484  val_cls=4.756877
[Epoch 360] lr=4.36e-08  val_recon=0.030967  val_cls=4.763952
[Epoch 361] lr=4.36e-08  val_recon=0.030215  val_cls=4.763107
[Epoch 362] lr=4.36e-08  val_recon=0.030337  val_cls=4.759877
[Epoch 363] lr=4.36e-08  val_recon=0.030611  val_cls=4.754965
[Epoch 364] lr=4.36e-08  val_recon=0.030598  val_cls=4.761096
[Epoch 365] lr=4.36e-08  val_recon=0.030613  val_cls=4.754619
[Epoch 366] lr=4.36e-08  val_recon=0.031153  val_cls=4.760510
[Epoch 367] lr=4.36e-08  val_recon=0.030645  val_cls=4.751451
[Epoch 368] lr=4.36e-08  val_recon=0.031051  val_cls=4.759196
